from_cat,cat,dist,to_x,to_y
34,32,7.825430845874,223882.501709834,5189792.14744578
34,33,0,223874.720425793,5189792.97749794
34,34,0,223874.720425793,5189792.97749794
34,34,0,223860.417387801,5189795.06595088
34,35,0,223860.417387801,5189795.06595088
35,27,0,223860.417387801,5189795.06595088
35,28,0,223860.417387801,5189795.06595088
35,28,0,223845.918344055,5189795.81744466
35,29,0,223845.918344055,5189795.81744466
35,34,0,223860.417387801,5189795.06595088
35,35,0,223845.918344055,5189795.81744466
35,35,0,223860.417387801,5189795.06595088
35,36,0,223845.918344055,5189795.81744466
36,20,8.37142965497112,223829.309350881,5189804.62458201
36,22,9.40181681445456,223829.18803342,5189805.85784548
36,28,0,223845.918344055,5189795.81744466
36,29,0,223834.873365045,5189798.36977739
36,29,0,223845.918344055,5189795.81744466
36,35,0,223845.918344055,5189795.81744466
36,36,0,223834.873365045,5189798.36977739
36,36,0,223845.918344055,5189795.81744466
36,174,2.62863137615268,223832.510383957,5189799.52130824
36,320,8.37142965497112,223829.309350881,5189804.62458201
36,321,6.90986780675683,223830.093744897,5189803.35991811
36,323,6.90986780675683,223830.093744897,5189803.35991811
36,324,2.44895493945295,223833.145479283,5189800.10522866
36,325,0.214366514540444,223834.684574931,5189798.47132194
36,326,0.212891650299993,223834.68198829,5189798.46303935
36,330,0,223834.873365045,5189798.36977739
36,331,0,223834.873365045,5189798.36977739
38,38,0,273127.557588166,5201252.13165541
38,38,0,273126.617,5201253.1824
38,671,0.972038301423502,273127.588590707,5201253.15290498
38,671,0,273127.557588166,5201252.13165541
38,672,0.0518733948490085,273127.592186236,5201252.0930054
38,672,1.46211107020492,273127.592186236,5201252.0930054
38,674,0.0303539063207265,273127.556667123,5201252.10131548
38,674,1.43238194954038,273127.556667123,5201252.10131548
38,687,0.972188279717991,273127.589108854,5201253.16997317
38,687,1.03879609798147,273127.589108854,5201253.16997317
43,43,0,220238.4112,5199577.3877
43,43,0,220967.399729242,5199566.06056872
43,218,0.0137766103122478,220238.397809116,5199577.39093716
43,285,0,220238.4112,5199577.3877
44,44,0,220114.27578213,5197596.90337077
44,44,0,220113.4685,5197596.1364
44,239,1.11352979498097,220114.27578213,5197596.90337077
44,239,0,220114.27578213,5197596.90337077
44,280,0.0178882808988714,220114.287062821,5197596.88948781
44,280,1.1101920104177,220114.330111726,5197596.83650823
44,285,0.0152356673545555,220114.28682762,5197596.91386471
44,285,1.12876546233553,220114.28682762,5197596.91386471
48,48,0,241623.817630923,5150306.29449875
48,48,0,243110.50159782,5150252.83955811
48,150,0,241623.817630923,5150306.29449875
48,151,2.37526210179648e-005,241623.817612093,5150306.29448427
48,300,0.0109283233627969,241623.808833978,5150306.28801477
49,49,0,291723.4715,5201236.8803
49,49,0,291008.900673875,5201681.11969254
49,167,4.53239825538272e-005,291723.47152582,5201236.88026275
49,718,0.0099804920672858,291723.479299506,5201236.87407281
50,50,0,271756.941122296,5193667.41338619
50,50,0,271700.7356,5193702.1803
50,51,0,271756.941122296,5193667.41338619
50,175,0,271756.941122296,5193667.41338619
51,50,0,271756.941122296,5193667.41338619
51,50,0,271756.941122296,5193667.41338619
51,51,0,271756.941122296,5193667.41338619
51,51,0,271756.941122296,5193667.41338619
51,175,0,271756.941122296,5193667.41338619
51,175,0,271756.941122296,5193667.41338619
52,52,0,240963.0374,5132533.4569
52,52,0,240903.5069,5130931.525
52,162,0.0402344847378276,240962.997257987,5132533.45962628
52,163,0,240963.0374,5132533.4569
53,53,0,230690.168,5153995.2125
53,53,0,229887.303546339,5154035.11332544
53,54,3.45810280054867,229885.8059,5154038.2303
53,55,3.45810280054867,229885.8059,5154038.2303
53,56,0.0345070450228574,229887.2702,5154035.1222
53,438,0.00012795835907579,229887.303561228,5154035.11319835
54,53,3.45810280054867,229887.303546339,5154035.11332544
54,54,0,229906.973,5154445.9909
