lcat,x,y,across,x1,y1,cos,sin,culvert,along
217.0,240291.03860021272,5156828.48701011,9.0,240290.6368767325,5156819.495980233,0.044635942249185115,0.9990033196438975,0.0,6020.0
217.0,240301.02824799827,5156828.040667901,9.0,240300.62652451842,5156819.049638024,0.0446359422050587,0.9990033196458692,0.0,6030.0
217.0,240311.0178957833,5156827.594325691,9.0,240310.61617230347,5156818.603295814,0.04463594220376103,0.9990033196459271,0.0,6040.0
217.0,240321.00754356873,5156827.14798348,9.0,240320.6058200885,5156818.156953603,0.044635942249185115,0.9990033196438975,0.0,6050.0
217.0,240330.9971913552,5156826.70164127,9.0,240330.59546788374,5156817.710611393,0.04463594127555586,0.9990033196873997,0.0,6060.0
217.0,240340.98683913003,5156826.255299065,9.0,240340.58511556653,5156817.264269192,0.044635951500087714,0.9990033192305628,0.0,6070.0
217.0,240350.97648692474,5156825.8089568615,9.0,240350.5747634445,5156816.817926984,0.044635942249185115,0.9990033196438975,0.0,6080.0
217.0,240360.9661347103,5156825.36261465,9.0,240360.56441123047,5156816.371584773,0.04463594220376103,0.9990033196459271,0.0,6090.0
217.0,240370.95578249622,5156824.91627244,9.0,240370.55405902475,5156815.925242563,0.04463594127425797,0.9990033196874578,0.0,6100.0
217.0,240380.94543028076,5156824.469930232,9.0,240380.54370680053,5156815.478900354,0.044635942249185115,0.9990033196438975,0.0,6110.0
217.0,240390.9350780663,5156824.02358802,9.0,240390.53335458646,5156815.032558143,0.0446359422050587,0.9990033196458692,0.0,6120.0
217.0,240400.924725842,5156823.577245817,9.0,240400.5230022785,5156814.586215943,0.044635951500087714,0.9990033192305628,0.0,6130.0
217.0,240410.91437363764,5156823.13090361,9.0,240410.51265016577,5156814.139873733,0.04463594131968228,0.9990033196854282,0.0,6140.0
217.0,240420.9040214223,5156822.684561402,9.0,240420.50229794247,5156813.693531524,0.04463594220376103,0.9990033196459271,0.0,6150.0
217.0,240430.8936692073,5156822.23821919,9.0,240430.49194572744,5156813.247189313,0.0446359422050587,0.9990033196458692,0.0,6160.0
217.0,240440.88331699272,5156821.791876981,9.0,240440.4815935125,5156812.800847104,0.044635942249185115,0.9990033196438975,0.0,6170.0
217.0,240450.87296477827,5156821.345534772,9.0,240450.47124129842,5156812.354504894,0.0446359422050587,0.9990033196458692,0.0,6180.0
217.0,240460.8626125633,5156820.89919256,9.0,240460.46088908345,5156811.908162683,0.0446359422050587,0.9990033196458692,0.0,6190.0
217.0,240470.85226034877,5156820.45285036,9.0,240470.4505368685,5156811.461820483,0.04463594225048301,0.9990033196438396,0.0,6200.0
217.0,240480.8419081343,5156820.006508151,9.0,240480.44018465444,5156811.015478274,0.0446359422050587,0.9990033196458692,0.0,6210.0
217.0,240490.8315559193,5156819.560165942,9.0,240490.42983243946,5156810.5691360645,0.0446359422050587,0.9990033196458692,0.0,6220.0
217.0,240500.82120370475,5156819.1138237305,9.0,240500.41948022452,5156810.122793853,0.044635942249185115,0.9990033196438975,0.0,6230.0
217.0,240510.8108514903,5156818.667481521,9.0,240510.40912801045,5156809.676451644,0.0446359422050587,0.9990033196458692,0.0,6240.0
217.0,240520.80049927623,5156818.22113931,9.0,240520.39877580476,5156809.230109433,0.04463594127425797,0.9990033196874578,0.0,6250.0
217.0,240530.79014706076,5156817.774797101,9.0,240530.38842358053,5156808.783767223,0.044635942249185115,0.9990033196438975,0.0,6260.0
217.0,240540.7797948463,5156817.3284549005,9.0,240540.37807136646,5156808.337425023,0.0446359422050587,0.9990033196458692,0.0,6270.0
217.0,240550.76944263128,5156816.882112691,9.0,240550.36771915143,5156807.891082814,0.0446359422050587,0.9990033196458692,0.0,6280.0
217.0,240560.75909041765,5156816.43577048,9.0,240560.35736694577,5156807.444740603,0.04463594131968228,0.9990033196854282,0.0,6290.0
217.0,240570.7487382023,5156815.989428271,9.0,240570.34701472247,5156806.998398393,0.04463594220376103,0.9990033196459271,0.0,6300.0
217.0,240580.7383859873,5156815.543086061,9.0,240580.33666250747,5156806.552056184,0.04463594220376103,0.9990033196459271,0.0,6310.0
217.0,240590.72803377366,5156815.09674385,9.0,240590.32631030178,5156806.105713973,0.04463594131968228,0.9990033196854282,0.0,6320.0
217.0,240600.717681549,5156814.650401646,9.0,240600.3159579855,5156805.659371773,0.044635951500087714,0.9990033192305628,0.0,6330.0
217.0,240610.7073293433,5156814.204059441,9.0,240610.30560586345,5156805.213029563,0.0446359422050587,0.9990033196458692,0.0,6340.0
217.0,240620.69697712874,5156813.757717231,9.0,240620.2952536485,5156804.766687354,0.044635942249185115,0.9990033196438975,0.0,6350.0
217.0,240630.68662491522,5156813.31137502,9.0,240630.28490144375,5156804.320345143,0.04463594127425797,0.9990033196874578,0.0,6360.0
217.0,240640.67627269932,5156812.865032811,9.0,240640.27454921947,5156803.8740029335,0.0446359422050587,0.9990033196458692,0.0,6370.0
217.0,240650.66592048475,5156812.418690601,9.0,240650.26419700452,5156803.427660724,0.044635942249185115,0.9990033196438975,0.0,6380.0
