cat,lcat,along,elev
133,75,131.945056581343,375.6833
134,75,132.944640343323,375.7001
135,75,133.944224105303,375.7057
136,75,134.943807867283,375.7019
137,75,135.943391629263,375.697
138,75,136.942975391243,375.6703
139,75,137.942559153222,375.6723
140,75,138.942142915202,375.6714
141,75,139.941726677182,375.7156
142,75,140.941310439162,375.7217
143,75,141.940894201142,375.7216
144,75,142.940477963122,375.705
145,75,143.940061725102,375.6993
146,75,144.939645487082,375.6858
147,75,145.939229249061,375.7122
148,75,146.938813011041,375.6926
149,75,147.938396773021,375.6887
150,75,148.937980535001,375.6927
151,75,149.937564296981,375.6825
152,75,150.937148058961,375.6776
153,75,151.936731820941,375.6606
154,75,152.93631558292,375.6556
155,75,153.9358993449,375.6302
156,75,154.93548310688,375.6389
157,75,155.93506686886,375.6574
158,75,156.93465063084,375.6702
159,75,157.93423439282,375.6771
160,75,158.9338181548,375.6771
161,75,159.93340191678,375.6807
162,75,160.932985678759,375.6797
163,75,161.932569440739,375.6823
164,75,162.932153202719,375.6605
165,75,163.931736964699,375.6681
166,75,164.931320726679,375.6786
167,75,165.930904488659,375.6814
168,75,166.930488250639,375.7023
169,75,167.930072012619,375.6772
170,75,168.929655774598,375.69
171,75,169.929239536578,375.6834
172,75,170.928823298558,375.679
173,75,171.928407060538,375.6844
174,75,172.927990822518,375.6722
175,75,173.927574584498,375.7008
176,75,174.927158346478,375.7014
177,75,175.926742108458,375.6939
178,75,176.926325870437,375.6962
179,75,177.925909632417,375.6908
180,75,178.925493394397,375.7284
181,75,179.925077156377,375.7488
182,75,180.924660918357,375.7488
183,75,181.924244680337,375.7705
184,75,182.923828442317,375.7837
185,75,183.923412204297,375.7815
186,75,184.922995966276,375.7607
187,75,185.922579728256,375.7407
188,75,186.922163490236,375.7407
189,75,187.921747252216,375.7104
190,75,188.921331014196,375.7212
191,75,189.920914776176,375.7043
192,75,190.920498538156,375.7004
193,75,191.920082300136,375.7231
194,75,192.919666062115,375.7809
195,75,193.919249824095,375.7396
196,75,194.918833586075,375.7301
197,75,195.918417348055,375.747
198,75,196.918001110035,375.7234
199,75,197.917584872015,375.7108
200,75,198.917168633995,375.6634
201,75,199.916752395974,375.7027
202,75,200.916336157954,375.7377
203,75,201.915919919934,375.6903
204,75,202.915503681914,375.7198
205,75,203.915087443894,375.7433
206,75,204.914671205874,375.747
207,75,205.914254967854,375.7525
208,75,206.913838729834,375.7406
209,75,207.913422491813,375.7472
210,75,208.913006253793,375.7331
211,75,209.912590015773,375.7256
212,75,210.912173777753,375.7248
213,75,211.911757539733,375.7295
214,75,212.911341301713,375.726
215,75,213.910925063693,375.7456
216,75,214.910508825673,375.7462
217,75,215.910092587652,375.7297
218,75,216.909676349632,375.716
219,75,217.909260111612,375.6906
220,75,218.908843873592,375.6786
221,75,219.908427635572,375.6668
222,75,220.908011397552,375.6668
223,75,221.907595159532,375.6961
224,75,222.907178921512,375.7063
225,75,223.906762683491,375.7105
226,75,224.906346445471,375.7116
227,75,225.905930207451,375.7071
228,75,226.905513969431,375.7072
229,75,227.905097731411,375.6982
230,75,228.904681493391,375.6924
231,75,229.904265255371,375.6857
232,75,230.903849017351,375.6908
233,75,231.90343277933,375.6902
234,75,232.90301654131,375.7028
235,75,233.90260030329,375.7028
236,75,234.90218406527,375.7065
237,75,235.90176782725,375.7073
238,75,236.90135158923,375.7041
239,75,237.90093535121,375.6979
240,75,238.90051911319,375.6887
241,75,239.900102875169,375.6792
242,75,240.899686637149,375.6766
243,75,241.899270399129,375.6776
244,75,242.898854161109,375.6822
245,75,243.898437923089,375.6859
246,75,244.898021685069,375.6819
247,75,245.897605447049,375.6659
248,75,246.897189209029,375.6764
249,75,247.896772971008,375.6749
250,75,248.896356732988,375.6749
251,75,249.895940494968,375.6802
252,75,250.895524256948,375.6759
253,75,251.895108018928,375.6635
254,75,252.894691780908,375.6544
255,75,253.894275542888,375.6544
256,75,254.893859304868,375.6537
257,75,255.893443066847,375.6479
258,75,256.893026828827,375.6444
259,75,257.892610590807,375.6376
260,75,258.892194352787,375.6381
261,75,259.891778114767,375.6484
262,75,260.891361876747,375.6549
263,75,261.890945638727,375.6686
264,75,262.890529400706,375.6765
265,75,263.890113162686,375.6779
266,75,264.889696924666,375.6807
267,75,265.889280686646,375.6814
268,75,266.888864448626,375.68
269,75,267.888448210606,375.6761
270,75,268.888031972586,375.6703
271,75,269.887615734566,375.6628
272,75,270.887199496545,375.6564
273,75,271.886783258525,375.655
274,75,272.886367020505,375.657
275,75,273.885950782485,375.6661
276,75,274.885534544465,375.6724
277,75,275.885118306445,375.6887
278,75,276.884702068425,375.6997
279,75,277.884285830405,375.6917
280,75,278.883869592384,375.6917
281,75,279.883453354364,375.722
282,75,280.883037116344,375.7124
283,75,281.882620878324,375.6913
284,75,282.882204640304,375.7004
285,75,283.881788402284,375.7022
286,75,284.881372164264,375.6976
287,75,285.880955926244,375.6903
288,75,286.880539688223,375.6817
289,75,287.880123450203,375.6734
290,75,288.879707212183,375.6657
291,75,289.879290974163,375.66
292,75,290.878874736143,375.6511
293,75,291.878458498123,375.65
294,75,292.878042260103,375.65
295,75,293.877626022083,375.6706
296,75,294.877209784062,375.6805
297,75,295.876793546042,375.684
298,75,296.876377308022,375.6821
299,75,297.875961070002,375.6779
300,75,298.875544831982,375.6781
301,75,299.875128593962,375.676
302,75,300.874712355942,375.671
303,75,301.874296117922,375.6631
304,75,302.873879879901,375.6511
