cat,along,x,y
190,26.3687237628917,230987.533321771,5144317.07518013
191,46.368723762789,231003.030064179,5144329.71839866
192,76.3687237626776,231021.994891969,5144306.47328505
193,0,233272.100194811,5136104.01586622
194,19.9999999999042,233252.238363653,5136101.66902514
195,49.9999999997968,233248.71810204,5136131.46177188
196,50.198508664061,233248.915239319,5136131.4850653
197,0,233260.935275375,5136132.90533285
198,7.69783789034614,233268.579933198,5136133.80861296
199,37.6978378902387,233272.100194811,5136104.01586622
200,0,233268.225231174,5136141.02880085
201,10.9148608762174,233260.935275375,5136132.90533285
202,0,233248.915239319,5136131.4850653
203,22.0025833022104,233232.539649792,5136146.18042986
204,42.0025833016769,233245.897503605,5136161.06558157
205,72.0025833010809,233268.225231174,5136141.02880085
206,0,227466.583120097,5139620.59214955
207,0,226853.454920635,5138030.45215836
208,0,230831.516015378,5127918.47906324
209,0,243081.829829658,5146238.73107623
210,0,241184.383633891,5139111.93343141
211,0,228062.355342015,5131502.55245165
212,0,226815.317637988,5138082.16207662
213,0,223018.025277166,5135060.01857596
214,0,237967.445041756,5132656.82817036
215,0,243005.730823606,5142207.18052838
216,0,240903.688317073,5130981.46203968
217,0,228051.032424757,5131537.81501434
218,0,229928.750795479,5133025.2923428
219,0,234131.795832491,5129622.27323806
220,0,226775.360811302,5134776.80358752
221,0,226727.512097848,5134829.45818455
222,0,241073.296509971,5135831.51551588
223,0,225435.391138162,5130644.04949142
224,0,243019.010880205,5142159.13963266
225,0,221669.987235899,5147983.28234245
226,0,241658.820857539,5150338.37887857
227,0,241643.513727673,5150278.13585149
228,0,241671.641264421,5150306.25301961
229,0,241122.121715442,5135779.64774606
230,0,222974.542494121,5136551.62619107
231,0,236636.844975609,5139197.14923941
232,0,236625.112727181,5139234.61404144
233,0,223954.351885581,5143083.59789483
234,0,229917.026885665,5133066.82849905
235,0,226600.765294802,5137512.44091268
236,0,222997.824934181,5133343.96325513
237,0,241012.05839833,5132533.86663673
238,0,223975.401443772,5143127.15443633
239,0,231625.49985952,5134627.12467481
240,0,231638.458303011,5134587.32843332
241,0,222314.952470533,5144747.21025376
242,0,231010.62457544,5144298.1796453
243,0,233255.459951732,5136130.7117438
