cat,a_cat,b_cat,to_x,to_y
128,19,1,313644.069349961,4999551.96775098
129,25,1,316843.93796287,5000040.0852328
130,19,1,313600.480716918,4998208.22640151
131,578,1,327859.576038662,5004683.92063059
132,681,1,328227.434266052,5003145.93062208
133,1422,1,328973.488551227,5001395.02781694
134,1001,1,329354.237288831,5001449.44004438
135,198,1,300338.651255631,4986841.18634228
136,206,1,302635.246882312,4978685.04001397
137,245,1,301269.221835107,4980379.7225042
138,214,1,300770.945442027,4983565.68169454
139,247,1,300703.255499192,4986808.48895821
140,392,1,308752.26964805,4981755.10852528
141,227,1,320362.120464896,4981424.62259317
142,226,1,317887.062804074,4983165.46504561
143,227,1,318538.179360232,4981480.2101717
144,2002,1,321595.73647611,4970055.48170333
145,3141,1,322692.023428105,4968413.87835437
146,900,1,321479.92012776,4971852.44809948
147,1710,1,304013.078858262,4974061.30763624
148,392,1,313579.801376474,4981631.14433382
149,23,1,321540.496229797,4994371.78416872
150,323,1,288345.406168318,4985626.88505784
151,422,1,299796.987094961,4971028.55326085
152,1236,1,299216.660134553,4972404.33385513
153,198,1,299907.880218398,4973930.43397532
154,247,1,308319.713381759,4986605.15688712
155,1002,1,305169.454258782,4985055.05193275
156,88,1,290321.858012747,4992021.65288601
157,105,1,291471.042864409,4995175.97769463
158,1485,1,291032.968376954,4996003.93784755
159,137,1,291993.085607723,5000012.10502542
160,122,1,294631.872535355,4996671.80716903
161,1216,1,309837.741787587,4982662.83647445
162,137,1,290200.07851329,5000074.70631476
163,130,1,287991.160131737,5000678.33087259
164,54,1,311854.278703736,4994560.66447156
165,53,1,311979.950996599,4991368.0455456
166,40,1,313019.78121761,4994577.90579876
167,1135,1,325007.554893739,4997501.270775
168,1220,1,326398.628967057,4997096.28756804
169,1852,1,305171.240059512,4988221.18884366
170,1884,1,302696.294764394,4984995.77917319
171,214,1,302638.005687233,4983499.4809382
172,214,1,302657.937826421,4983498.75140308
173,836,1,325068.576941214,5006559.27491528
174,4291,1,323468.202744258,5004938.13070028
175,900,1,321504.717779985,4972959.63427104
176,900,1,321512.830914491,4973347.62152714
177,46,1,317718.633063145,4989586.10365614
178,32,1,319729.757384397,4988829.77751351
179,1901,1,325965.063533114,4983484.68077502
180,1124,1,325363.659860753,4982927.11377874
181,56,1,310481.181703613,5001380.07134958
182,474,1,315334.479960461,5002724.75057094
183,46,1,310404.551329957,4989773.23250171
184,230,1,306739.011336072,4986924.03554379
185,11,1,307581.436760667,4988238.95120657
186,415,1,322644.489831962,5004161.22253646
187,324,1,291151.449175317,4980749.30720324
188,237,1,318435.135169402,4976655.21191117
189,101,1,276710.819288424,4997407.94370977
190,88,1,291860.139063555,4991961.51703492
191,91,1,294192.096079702,4993936.27676657
192,251,1,322713.055422623,4982508.92221881
193,422,1,300566.554982032,4993028.32306494
194,122,1,285666.248647109,4996990.48428403
195,53,1,316493.773747044,4991243.21467649
196,62,1,316593.583564144,4991279.79674143
197,285,1,292384.154258058,4988419.77435716
198,132,1,289560.414974977,4999697.60428775
199,118,1,287578.60449807,4998551.65002339
200,54,1,311936.954958117,4996757.84477125
201,48,1,310967.317819697,4996239.85430721
202,195,1,314513.265130761,4979055.93006105
203,237,1,297246.420932768,4977286.10544702
204,236,1,296765.3100442,4977518.84966918
205,118,1,296382.328865653,4998248.1476825
206,226,1,318057.972471738,4987565.08323591
207,137,1,287296.162607047,5000175.93189847
208,137,1,288225.121624398,5000138.26825833
