cat,a_cat,b_cat,to_x,to_y
303,3224,1,450184.44687614,4834142.36038782
304,2780,1,450184.44687614,4834142.36038782
305,410,1,450967.32645352,4833231.79128917
306,3984,1,459356.53467526,4819302.28357468
307,3520,1,458739.981005965,4818029.10761462
308,1627,1,455665.730765908,4817254.60855361
309,2504,1,483145.492399959,4830805.1968652
310,3439,1,484161.580733786,4822785.48237485
311,1123,1,484161.560716899,4822785.48252206
312,3117,1,479060.519232704,4819559.64027436
313,1704,1,463813.678553186,4827165.29310811
314,1704,1,463815.895309181,4827485.87997671
315,3834,1,479914.913025627,4846512.18084468
316,2645,1,481555.656683373,4844518.83568732
317,2815,1,487951.104336759,4845373.68927089
318,1357,1,470266.856708336,4828638.57984506
319,2760,1,471870.022837912,4826588.279535
320,3012,1,455665.730765908,4817254.60855361
321,3007,1,459356.53467526,4819302.28357468
322,3480,1,455651.478776007,4817696.71099916
323,1952,1,472614.608137434,4816750.6662095
324,1488,1,472004.78976613,4819402.62272445
325,1012,1,472614.608137434,4816750.6662095
326,1751,1,460070.555100733,4836068.60938892
327,325,1,485558.93111925,4834118.17059069
328,2954,1,484753.370956854,4832425.23417889
329,3439,1,485933.545965749,4822759.63951529
330,2593,1,465246.270687154,4821425.97048308
331,3834,1,479905.77271266,4838869.850278
332,1713,1,479905.77271266,4838869.850278
333,733,1,479905.77271266,4838869.850278
334,1978,1,479905.77271266,4838869.850278
335,532,1,486364.446733252,4851814.80045093
336,485,1,452139.060897015,4849880.57872962
337,320,1,462240.073720202,4835669.18314607
338,380,1,473471.676860365,4825919.88351631
339,1357,1,470247.070328097,4823174.84779121
340,1357,1,470255.849621632,4824437.90867303
341,3369,1,470273.813615052,4823966.14433507
342,320,1,461142.082557324,4835677.69579204
343,3224,1,461112.525837816,4834060.86130185
344,2494,1,484715.947576009,4822350.2204536
345,3719,1,454933.528669575,4827307.04634531
346,3717,1,454604.349851473,4827677.53190257
347,3930,1,457921.388929579,4822830.20173449
348,2543,1,457921.409108397,4822830.20165937
349,1850,1,455721.392128682,4825683.47661186
350,421,1,455623.152275923,4826062.83428097
351,3393,1,459262.668029963,4851810.70904623
352,484,1,458651.069849454,4850205.43225433
353,1879,1,470544.456127788,4852553.73511213
354,2347,1,468271.879614803,4843708.85309703
355,426,1,470286.125329599,4843604.87069592
356,1858,1,471882.597863061,4841910.53320254
357,3754,1,473771.64026707,4852259.58938892
358,1879,1,473771.64026707,4852259.58938892
359,2933,1,463223.610719453,4846962.90992191
360,3754,1,465733.161102306,4852593.39976908
361,1553,1,467126.959927954,4854159.25129736
362,2667,1,482112.945605293,4821188.31497222
363,3119,1,483090.493489574,4822360.90750309
364,3119,1,483091.367707438,4822772.29426713
365,2494,1,484705.166507525,4819249.10917355
366,2179,1,484901.00103499,4819539.70465546
367,2494,1,484704.847732183,4819642.87325124
368,2347,1,468760.862506012,4843699.56435061
369,2683,1,468669.326219365,4852469.16545261
370,3754,1,468703.105208268,4852578.17892308
371,2788,1,450035.378874083,4820204.18289861
372,320,1,462878.668451394,4835664.73690335
373,1010,1,475012.957541427,4819496.93553185
374,2732,1,498412.396502936,4839330.20010213
375,1880,1,501650.298394151,4837944.93682909
376,1168,1,500641.018670834,4838071.42389442
377,1632,1,498412.396502936,4839330.20010213
378,3941,1,487966.585024468,4844525.27605142
379,668,1,490387.351591051,4845777.40931456
380,1043,1,482746.770429014,4848539.86514032
381,2100,1,486606.061861091,4842124.18516477
382,1253,1,452354.752442384,4816469.50821904
383,772,1,452354.752442384,4816469.50821904
384,773,1,452354.752442384,4816469.50821904
385,3586,1,452354.752442384,4816469.50821904
386,3717,1,460864.803329352,4827636.3598263
387,3473,1,455575.237222931,4818053.79624948
388,573,1,483117.891978561,4832390.82346545
389,584,1,483129.787695395,4832389.90263833
390,574,1,483130.857638019,4832390.95418025
391,3724,1,470864.218738389,4841269.86792129
392,3964,1,490387.351591051,4845777.40931456
393,2110,1,492913.888506191,4851792.12989955
394,533,1,492913.867516348,4851792.13012269
395,532,1,486375.232297992,4852662.47913885
396,2788,1,450019.974504659,4818171.63234405
397,3923,1,450019.974504659,4818171.63234405
398,3473,1,449907.029917795,4818105.26268224
399,325,1,475300.947046099,4836452.65651048
400,3909,1,464650.626016071,4838214.18062656
401,2237,1,464641.815593097,4838875.08847256
402,2069,1,464647.075745712,4838879.43993107
403,3724,1,464345.340569205,4841298.74413747
404,3910,1,464646.114977528,4837291.32828381
405,325,1,464446.045327524,4836431.55707805
406,3848,1,481547.195805086,4846917.15257685
407,2050,1,489685.163887608,4816307.19074274
408,1590,1,488461.133216995,4817916.95425461
409,2020,1,478706.224871338,4835608.3692387
410,2962,1,478706.224871338,4835608.3692387
411,3874,1,478706.224871338,4835608.3692387
412,1093,1,479909.833622279,4836521.29682308
413,1231,1,479488.132787027,4836525.4007174
414,532,1,486376.680114606,4841526.30985131
415,2660,1,484770.529774037,4838887.82727473
416,3724,1,484779.972696774,4840902.33330308
417,1529,1,483546.774964702,4845912.38467254
