cat,system_cod,type,segment_na,map_label,bottom_wid,tile_dim,tile_mater,source,side_slope,grade,buffer_rig,buffer_lef,buffer_req,easement,easement_w,easement_1,constructi,construc_1,construc_2,notes,SHAPE_Leng
43,"CCD41L2","Open","Clay Co. Ditch No. 41","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2496.73285611
44,"CCD51","Open","Clay Co. Ditch No. 51","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,978.513189872
45,"CCD51","Open","Clay Co. Ditch No. 51","Lat. 1",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,6357.08245201
46,"C-WJD1","Open","Judicial Ditch No. 1","Br. 2",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,1616.19003626
47,"C-WJD1","Open","Judicial Ditch No. 1","Br. 4",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2053.4568019
48,"C-WJD2","Open","Judicial Ditch No. 2","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,18751.7364214
49,"C-WJD2","Open","Judicial Ditch No. 2","Br. 2",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2522.10257616
50,"C-WJD2","Open","Judicial Ditch No. 2","Br. 1",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,1967.91228665
51,"WCD1C","Open","Wilkin Co. Ditch No. 1C","Main",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2313.40489437
52,"WCD1C","Open","Wilkin Co. Ditch No. 1C","Lat. 1",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,9348.24341088
53,"WCD2","Open","Wilkin Co. Ditch No. 2","Lat. A",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2680.77715916
54,"WCD22","Open","Wilkin Co. Ditch No. 22","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,9805.92885098
55,"WCD22","Open","Wilkin Co. Ditch No. 22","Lat. 3",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,4722.16688444
56,"WCD22","Open","Wilkin Co. Ditch No. 22","Lat. 1",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,4507.13325871
57,"WCD22","Open","Wilkin Co. Ditch No. 22","Lat. 2",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2353.90821339
58,"WCD2","Open","Wilkin Co. Ditch No. 2","Lat. 1",-9998,-9998,"Not Applicable","Ditch CL from GIS Update 2007","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,1782.3292267
59,"WCD13","Open","Wilkin Co. Ditch No. 13","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,6950.59452502
60,"WCD44","Open","Wilkin Co. Ditch No. 44","Lat. A",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,8072.71901171
61,"WCD44","Open","Wilkin Co. Ditch No. 44","Lat. B",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,9098.64896482
62,"CCD2","Open","Clay Co. Ditch No. 2","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,12098.0351199
63,"CCD2","Open","Clay Co. Ditch No. 2","Lat. 1",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2372.0779499
64,"CCD23","Open","Clay Co. Ditch No. 23","North",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2360.33216886
65,"CCD39","Open","Clay Co. Ditch No. 39","Br. 2",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,819.261596478
66,"CCD55","Open","Clay Co. Ditch No. 55","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,8387.37189953
67,"CCD55","Open","Clay Co. Ditch No. 55","Lat. 1",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,2046.89101353
68,"CCD65","Open","Clay Co. Ditch No. 65","Lat. 1",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,9471.5605061
69,"CCD65","Open","Clay Co. Ditch No. 65","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,14800.5792639
70,"BCD9","Open","Becker Co. Ditch No. 9","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,8048.01659844
71,"CCD21","Open","Clay Co. Ditch No. 21","Br. 1",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,1594.02948657
72,"CCD21","Open","Clay Co. Ditch No. 21","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,10681.6784551
73,"CCD39","Open","Clay Co. Ditch No. 39","Br. 1",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,1713.65013348
74,"CCD39","Open","Clay Co. Ditch No. 39","Main",-9998,-9998,"Not Applicable","Ditch CL from CAD ROW Work","Unknown",-9999,"Unknown","Unknown",,"Unknown",-9999,-9999,"Unknown",-9999,-9999,,15617.4501241
