cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
434,274051,"18299780",5115,"tertiary","270th Avenue","CH 4","B",0,0,"F","F",1,241839.192163775,4964931.88368599
435,336247,"147637437",5115,"tertiary","County Highway 68","CR 68","B",0,0,"F","F",1,242645.494793051,5001880.91333618
436,335950,"147610076",5121,"unclassified",,,"B",0,0,"F","F",1,270472.142901699,4966993.69554382
437,921829,"1306593618",5121,"unclassified","110th Street","CR 52","B",0,1,"T","F",1,242462.507064101,4968113.18619559
438,133051,"18130849",5113,"primary",,"US 75","B",0,0,"F","F",1,241447.46377482,5002341.7224904
439,274564,"18300376",5122,"residential","430th Street",,"B",0,0,"F","F",1,279669.370357809,4968748.80363111
440,274337,"18300114",5122,"residential","320th Avenue",,"B",0,0,"F","F",1,277954.93490764,4971538.05058613
441,132411,"18130064",5115,"tertiary","County Highway 2","CR 2","B",0,0,"F","F",1,267919.419644478,4970329.85887679
442,131706,"18129230",5122,"residential","350th Street",,"B",0,0,"F","F",1,248571.901175095,5006586.93703782
443,461334,"545213157",5121,"unclassified","330th Street","CR 10","B",0,0,"F","F",1,263475.539761943,4965186.38335737
444,273066,"18298526",5142,"track",,,"B",0,0,"F","F",1,260656.444272114,4965713.70504667
445,131529,"18128962",5122,"residential","241st Avenue",,"B",0,0,"F","F",1,250741.597403162,4994031.18318019
446,131985,"18129538",5141,"service",,,"B",0,0,"F","F",1,250129.283835268,4993584.17743069
447,133013,"18130800",5121,"unclassified","County Road 52","CR 52","B",0,0,"F","F",1,263957.703854109,4967218.43457695
448,131418,"18128833",5141,"service",,,"B",0,0,"F","F",1,241914.930386017,5002105.64447958
449,132370,"18130014",5122,"residential","320th Street",,"B",0,0,"F","F",1,241230.175219741,5001930.39429801
