cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
71,255647,"18277010",5122,"residential","220th Avenue",,"B",0,0,"F","F",1,445577.446414396,4858430.75376976
72,941900,"1347702247",5154,"path",,,"B",0,1,"T","F",1,443201.407198743,4886396.74833595
73,384147,"235768854",5115,"tertiary","Snake Trail","CR 4","B",88,0,"F","F",1,466004.609234971,4886105.82157625
74,384095,"235588053",5122,"residential","390th Avenue",,"B",0,0,"F","F",1,441437.657399895,4885849.60323426
75,408177,"306197277",5111,"motorway",,"US 14","F",104,0,"F","F",1,454792.531202338,4878633.94705154
76,251195,"18271997",5115,"tertiary","Brown Avenue","CR 2;CR 27","B",72,0,"F","F",1,456241.790361011,4880936.84557027
77,255490,"18276808",5122,"residential","240th Avenue",,"B",0,0,"F","F",1,441118.286959166,4861685.61583796
78,255286,"18276581",5122,"residential","45th Street",,"B",0,0,"F","F",1,445579.17018094,4858428.7397538
79,255625,"18276986",5115,"tertiary","35th Street","CR 28","B",88,0,"F","F",1,443960.752745675,4857410.93640057
80,946436,"1359359778",5154,"path",,,"B",0,1,"T","F",1,443186.340881191,4886283.32672862
81,581233,"763471748",5113,"primary","State Highway 30","MN 30","B",96,0,"F","F",1,447233.489875905,4860044.85243124
82,255647,"18277010",5122,"residential","220th Avenue",,"B",0,0,"F","F",1,449006.463152999,4858418.53506267
83,255407,"18276715",5122,"residential","90th Street",,"B",0,0,"F","F",1,452796.785488307,4856092.84633021
84,255052,"18276298",5115,"tertiary","West Elysian Lake Road","CH 18","B",0,0,"F","F",1,442154.671133891,4886188.60539853
85,308567,"118665743",5111,"motorway",,"US 14","F",104,0,"F","F",1,442186.464899635,4884516.0355105
86,255578,"18276930",5122,"residential","370th Avenue",,"B",0,0,"F","F",1,442064.866524439,4882625.5864522
87,255232,"18276518",5122,"residential","15th Street",,"B",0,0,"F","F",1,440906.560183873,4880727.91819989
88,390139,"249217398",5122,"residential","410th Avenue",,"B",0,0,"F","F",1,442024.386783183,4889063.99334563
89,255235,"18276521",5122,"residential","15th Street",,"B",0,0,"F","F",1,440987.800020807,4889915.3235949
90,251877,"18272767",5141,"service",,,"B",0,0,"F","F",1,465869.317225572,4886904.14785216
91,408328,"306787548",5115,"tertiary","110th Street","CR 27","B",88,0,"F","F",1,456200.269910282,4880836.33946812
92,255654,"18277019",5122,"residential","Broadway Avenue South",,"B",0,0,"F","F",1,460333.583468871,4859982.80372735
93,255833,"18277241",5122,"residential","350th Avenue",,"B",0,0,"F","F",1,455127.076870658,4879334.0169926
94,313774,"132979645",5111,"motorway",,"US 14","F",104,0,"F","F",1,454809.979768451,4878653.37605883
95,313531,"132793185",5111,"motorway",,"US 14","F",104,0,"F","F",1,453313.765693007,4882664.30594844
96,941901,"1347702248",5154,"path",,,"B",0,0,"F","F",1,443210.355967209,4886167.35077451
97,344044,"156900175",5111,"motorway",,"US 14","F",104,0,"F","F",1,442183.386628785,4884483.5333736
98,313768,"132978350",5111,"motorway",,"US 14","F",104,0,"F","F",1,453288.468246691,4882644.63970992
99,384099,"235588058",5141,"service",,,"B",0,0,"F","F",1,442186.056921254,4884511.69954653
