cat,x,y
617,338018.035820469,5047469.86864372
618,338018.101993081,5047469.79366915
619,338011.972426711,5047421.24966999
620,338011.917075341,5047421.332954
621,337699.426481263,5047756.54709321
622,337699.466886665,5047756.4556197
623,337736.543406652,5047723.6641303
624,337736.443625155,5047723.67073732
625,337273.548055885,5048479.77221548
626,337273.565626419,5048479.6737712
627,337292.79958866,5048434.96891419
628,337292.728294912,5048435.03903695
629,337241.902499307,5048623.58917607
630,337241.947667316,5048623.49995807
631,337266.727767636,5048580.63869603
632,337266.656401236,5048580.70874485
633,337118.719818704,5049082.51024366
634,337118.748014469,5049082.41430098
635,337133.201564358,5049034.85584823
636,337133.163207785,5049034.94819959
637,337021.647537492,5049352.34540155
638,337021.676335629,5049352.24963795
639,337049.140097581,5049312.50596835
640,337049.111299443,5049312.60173195
641,336888.805634645,5049474.95234411
642,336888.880770921,5049474.88635517
643,336924.450210169,5049440.33219325
644,336924.367992611,5049440.38911665
645,336547.299764847,5049693.99317412
646,336547.39937125,5049693.98431046
647,336571.706301218,5049689.67540556
648,336571.608989452,5049689.69843641
649,336267.923016673,5043699.68778935
650,336268.022992454,5043699.68558864
651,336317.552586046,5043701.59604516
652,336317.452610265,5043701.59824588
653,336017.89993052,5043706.98824946
654,336017.997529467,5043706.96646769
655,336067.602542423,5043705.17693838
656,336067.502844516,5043705.16917131
657,335946.314829792,5042552.51147206
658,335946.413836531,5042552.52553142
659,335995.756584122,5042548.69162783
660,335995.659788824,5042548.71674097
661,336896.226074293,5043340.30397188
662,336896.218441423,5043340.40368016
663,336895.064785667,5043380.84115351
664,336895.063429863,5043380.74116271
665,337041.891263228,5043190.58209667
666,337041.828249928,5043190.65933889
667,337012.047148783,5043230.3083841
668,337012.107212393,5043230.22843185
669,337183.005619548,5042996.90569751
670,337182.970476376,5042996.99931886
671,337157.005549552,5043039.06733064
672,337157.049337138,5043038.97742709
673,352243.008968525,5039558.33323991
674,352243.012382575,5039558.43318162
675,352277.671002796,5039593.02415909
676,352277.581854347,5039592.97885397
677,371780.793641248,5028991.92101674
678,371780.738033159,5028992.00412956
679,371759.438959083,5029036.84674363
680,371759.480339301,5029036.75570695
681,338226.722110122,5037161.80987388
682,338226.778836446,5037161.72752023
683,338274.469580056,5037148.85627471
684,338274.3723113,5037148.87948654
685,338348.529002575,5037168.78477645
686,338348.549347232,5037168.88268506
687,338358.197427888,5037212.18734714
688,338358.186937314,5037212.08789892
689,337947.739383981,5047257.08635154
690,337947.693425809,5047256.99753799
691,337963.899892274,5047212.36507187
692,337963.814434813,5047212.41700473
693,337991.117305041,5046883.72028611
694,337991.021858801,5046883.69045299
695,337952.98638023,5046863.62460343
696,337953.065430222,5046863.68584964
697,337913.479138836,5046412.67598626
698,337913.50754766,5046412.58010644
699,337932.145639581,5046367.15295137
700,337932.077346304,5046367.22599949
701,337983.202657698,5046205.5192881
702,337983.231066521,5046205.42340829
703,337999.778107545,5046159.15632885
704,337999.731443973,5046159.24477381
705,338147.34097645,5045867.15778314
706,338147.409429482,5045867.0848847
707,338179.32760738,5045829.07409956
708,338179.265500967,5045829.15247553
709,338403.300531755,5045773.87502711
710,338403.370325835,5045773.80341156
711,338433.814402833,5045735.17754699
712,338433.752082439,5045735.25575293
713,341223.885277258,5050811.02736068
714,341223.966022738,5050811.08635363
715,341259.668583296,5050845.48339866
716,341259.596952284,5050845.41362045
717,341337.548662135,5050920.47650141
718,341337.626881548,5050920.53880489
719,341373.307799933,5050954.78718435
720,341373.236168921,5050954.71740614
721,342257.738645204,5051570.01472016
722,342257.730770463,5051569.9150307
723,342266.244924749,5051540.58334658
724,342266.212678376,5051540.67800476
725,342420.912592093,5050226.32621968
726,342420.857925773,5050226.24248442
727,342394.659637305,5050184.07142632
728,342394.704661898,5050184.16071677
729,337676.134726213,5044744.83520844
730,337676.218968716,5044744.8890898
731,337722.28800553,5044763.31184883
732,337722.217846002,5044763.24059126
733,335822.012817707,5041126.9715486
734,335822.112744947,5041126.96773459
735,335871.514170658,5041124.09243202
736,335871.415119316,5041124.10617362
737,336101.611108771,5041130.93769768
738,336101.689774814,5041130.99943627
739,336141.528868126,5041160.56516783
740,336141.45354578,5041160.49939136
741,336377.113054541,5041287.00788811
742,336377.213008006,5041287.0109385
743,336426.460358129,5041293.16714322
744,336426.362989537,5041293.14435381
745,327128.58580224,5003032.70497109
746,327128.657900227,5003032.63567549
747,327201.714577429,5002972.1400559
748,327201.622078151,5002972.17805436
749,324296.912920103,4982710.6868028
750,324296.814035166,4982710.70169471
751,324240.715829426,4982718.26451976
752,324240.815705463,4982718.25954209
753,326183.976504957,5000688.76210931
754,326183.880369953,5000688.7345764
755,326103.219686992,5000666.3538523
756,326103.225417642,5000666.45368796
757,325975.429042213,5000504.16635864
758,325975.329690771,5000504.17772926
759,325890.687058236,5000503.8496593
760,325890.786409678,5000503.83828868
761,324431.310416803,5000200.64235245
762,324431.211596036,5000200.6270405
763,324373.418163347,5000236.59450211
764,324373.486992998,5000236.52195916
765,327391.822654959,5002929.77776745
