cat,a_cat,a_osm_id,a_code,a_fclass,a_name,a_ref,a_oneway,a_maxspeed,a_layer,a_bridge,a_tunnel,b_cat,to_x,to_y
283,577999,"759879757",5122,"residential","180th Street",,"B",0,0,"F","F",1,419877.475961686,4948822.32131495
284,232550,"18250316",5115,"tertiary","371st Avenue","CR 11","B",0,0,"F","F",1,419931.86873631,4948318.16835883
285,230763,"18248188",5122,"residential","276 Street",,"B",0,0,"F","F",1,419266.725133861,4933523.06603734
286,414658,"329911699",5115,"tertiary","391st Avenue","CR 17","B",0,0,"F","F",1,416469.377659585,4934868.18044198
287,233134,"18250965",5122,"residential","381st Avenue",,"B",0,0,"F","F",1,418104.587999657,4935575.92618071
288,231636,"18249296",5122,"residential","260th Street",,"B",0,0,"F","F",1,417712.550611044,4935962.04013632
289,232518,"18250279",5121,"unclassified","401st Avenue",,"B",0,0,"F","F",1,415043.955751963,4944146.30972799
290,233280,"18251132",5114,"secondary","411th Avenue","CR 9","B",0,0,"F","F",1,413450.693334614,4945287.98392544
291,233324,"18251181",5122,"residential","200th Street",,"B",0,0,"F","F",1,415465.67997576,4945636.66321354
292,231865,"18249541",5141,"service",,,"B",0,0,"F","F",1,415209.086596509,4944700.77701331
293,232909,"18250716",5121,"unclassified","210th Street",,"B",0,0,"F","F",1,415271.628335128,4944035.40440596
294,327273,"140596628",5114,"secondary",,"MN 5","B",0,0,"F","F",1,413123.126140925,4938852.48237291
295,232850,"18250649",5122,"residential","431st Avenue",,"B",0,0,"F","F",1,410095.425354227,4938082.2200278
296,143177,"18143272",5122,"residential","10th Street",,"B",0,0,"F","F",1,396734.765860637,4942719.30344261
297,233201,"18251045",5122,"residential","180th Street",,"B",0,0,"F","F",1,421918.020680741,4948741.82682817
298,233700,"18251596",5122,"residential","170th Street",,"B",0,0,"F","F",1,423421.906140969,4950341.31321073
299,149118,"18149804",5122,"residential","Zane Avenue",,"B",0,0,"F","F",1,381247.595953276,4945897.42109962
300,233364,"18251224",5114,"secondary","625 Avenue","CR 2","B",0,0,"F","F",1,378836.962212274,4946255.00264513
301,411596,"318322873",5122,"residential","631st Avenue",,"B",0,0,"F","F",1,378025.338284678,4946072.61369815
302,233519,"18251400",5115,"tertiary","651st Avenue","CR 22","B",0,0,"F","F",1,374817.00858071,4947034.08780244
303,150003,"18150836",5122,"residential","Yacht Avenue",,"B",0,0,"F","F",1,382834.233210709,4946713.0232294
304,233096,"18250923",5122,"residential","533rd Avenue",,"B",0,0,"F","F",1,393670.09997441,4924177.81235788
305,394710,"256262801",5112,"trunk","State Highway 15","MN 15","B",96,0,"F","F",1,390903.220482873,4924530.80542218
306,232979,"18250795",5122,"residential","561st Avenue",,"B",0,0,"F","F",1,389282.376518968,4923920.65073037
307,231041,"18248603",5141,"service",,,"B",0,0,"F","F",1,401879.674216347,4935895.64026234
308,233596,"18251483",5115,"tertiary","491st Avenue","CR 10","B",0,0,"F","F",1,400392.576371681,4936483.74602286
309,232583,"18250351",5122,"residential","503rd Avenue",,"B",0,0,"F","F",1,398384.785475903,4936936.99284306
310,233697,"18251593",5122,"residential","615th Avenue",,"B",0,0,"F","F",1,380482.046961247,4923734.15145439
311,231311,"18248924",5141,"service",,,"B",0,0,"F","F",1,422526.080017028,4951912.57452064
312,57425,"18037347",5122,"residential","158th Street",,"B",0,0,"F","F",1,422518.369972651,4952021.56876657
313,233085,"18250909",5115,"tertiary","256th Street","CR 10","B",0,0,"F","F",1,398267.841812342,4937025.1167636
314,231551,"18249204",5141,"service",,,"B",0,0,"F","F",1,395875.933324149,4937868.93642438
315,233369,"18251229",5115,"tertiary","521st Avenue","CR 4","B",0,0,"F","F",1,395578.762501809,4938126.46924719
316,327272,"140596627",5114,"secondary",,"MN 5","B",0,1,"T","F",1,407072.927796895,4935436.77150644
317,232946,"18250758",5114,"secondary","270th Street","MN 19","B",0,0,"F","F",1,408164.745827304,4934461.11704031
318,934811,"1332464421",5122,"residential","280th Street",,"B",0,1,"T","F",1,407287.533451977,4932877.67035076
319,230791,"18248233",5122,"residential","236th Street",,"B",0,0,"F","F",1,385362.63845753,4940453.61555658
320,230791,"18248233",5122,"residential","236th Street",,"B",0,0,"F","F",1,386429.886961394,4940439.20515994
321,233000,"18250816",5122,"residential","226th Street",,"B",0,0,"F","F",1,387585.078157849,4942039.25008707
322,232741,"18250529",5122,"residential","581st Avenue",,"B",0,0,"F","F",1,386081.356080932,4925600.95793481
323,411593,"318322870",5122,"residential","210th Street",,"B",0,0,"F","F",1,378829.511869335,4944569.79096495
324,411596,"318322873",5122,"residential","631st Avenue",,"B",0,0,"F","F",1,378005.115172675,4944971.97000975
325,232872,"18250672",5114,"secondary","240th Street","CR 10","B",0,0,"F","F",1,375510.7323454,4939794.82618053
326,232350,"18250080",5122,"residential","250th Street",,"B",0,0,"F","F",1,376275.868128717,4938171.51524454
327,230956,"18248478",5141,"service",,,"B",0,0,"F","F",1,424786.915085209,4951368.15101503
328,233037,"18250858",5115,"tertiary","331st Avenue","CR 16","B",0,0,"F","F",1,426382.347553723,4951087.58341057
329,232660,"18250443",5122,"residential",,,"B",0,0,"F","F",1,423150.195274319,4951552.44620335
330,150003,"18150836",5122,"residential","Yacht Avenue",,"B",0,0,"F","F",1,382804.259341761,4944717.13121454
331,149118,"18149804",5122,"residential","Zane Avenue",,"B",0,0,"F","F",1,381211.621977719,4944112.04957163
332,231141,"18248716",5141,"service",,,"B",0,0,"F","F",1,380660.905852747,4943303.5405431
333,233770,"18251676",5122,"residential","266th Street",,"B",0,0,"F","F",1,390543.253900995,4935535.17804328
334,232747,"18250535",5115,"tertiary","220th Street",,"B",0,0,"F","F",1,403077.629170456,4942612.61988284
335,231149,"18248724",5122,"residential","280th Street",,"B",0,0,"F","F",1,406469.65187075,4932898.35496831
336,233284,"18251136",5141,"service","417th Avenue",,"B",0,0,"F","F",1,412184.990114379,4932672.02729428
337,233279,"18251131",5115,"tertiary","411th Avenue","CR 9","B",0,0,"F","F",1,413370.570110742,4932228.17196069
338,230776,"18248211",5122,"residential","401st Avenue",,"B",0,0,"F","F",1,414997.943779411,4932300.25391043
339,578001,"759879759",5113,"primary","State Highway 5","MN 5;MN 25","B",0,0,"F","F",1,422164.323610899,4951505.4188965
340,233476,"18251346",5122,"residential","361st Avenue",,"B",0,0,"F","F",1,421536.607663008,4951643.6823202
341,934800,"1332464410",5142,"track","190th Street",,"B",0,0,"F","F",1,374102.953375278,4947858.05904546
342,232944,"18250755",5122,"residential","270th Street",,"B",0,0,"F","F",1,380117.61850071,4934883.68988474
343,230780,"18248215",5122,"residential","585th Avenue",,"B",0,0,"F","F",1,385112.633437385,4935680.0371597
344,232979,"18250795",5122,"residential","561st Avenue",,"B",0,0,"F","F",1,389315.306894751,4926748.37963577
