cat,a_cat,b_cat,to_x,to_y
220,1777,1,230431.982221552,5237795.19090812
221,289,1,239898.6355526,5236558.89480424
222,373,1,213531.731738875,5222406.9543677
223,1428,1,210347.001776173,5227342.97779412
224,1439,1,210561.630386595,5227323.52824089
225,373,1,213744.192407728,5227249.31918667
226,195,1,235818.680195126,5218136.31857399
227,1906,1,234182.805524169,5218214.07263334
228,928,1,227199.708376455,5241177.59373636
229,199,1,231593.899520471,5216732.30225331
230,353,1,229394.929056352,5218488.82274823
231,77,1,227846.986043795,5220194.90965496
232,377,1,255774.430748063,5215716.37660881
233,1862,1,231646.413170883,5232884.24667539
234,1175,1,226322.870765064,5257310.59250485
235,1635,1,226658.005512578,5257295.86524161
236,300,1,238660.258956998,5227714.19146865
237,1958,1,232580.678696794,5218296.82506553
238,2770,1,231593.899520471,5216732.30225331
239,78,1,230937.189058342,5217328.85343888
240,195,1,235714.789299765,5214519.12957879
241,1761,1,233372.115162665,5261843.30811265
242,1534,1,238202.867114578,5261660.39842553
243,488,1,234983.638456687,5261789.02975163
244,421,1,233372.115162665,5261843.30811265
245,743,1,227305.527354457,5243586.39773381
246,1716,1,224129.101103089,5244355.72855272
247,910,1,224154.673726249,5244504.41745986
248,1252,1,225692.826823583,5243643.42612414
249,3282,1,220119.609834937,5225349.84683632
250,2494,1,210527.77036766,5225722.11460907
251,87,1,215270.878670655,5225561.97960426
252,1252,1,225603.217936696,5241240.72230601
253,1489,1,225603.217936696,5241240.72230601
254,743,1,227199.708376455,5241177.59373636
255,1492,1,228799.275465461,5241114.55264377
256,1201,1,322012.588581936,5257534.51084817
257,1993,1,323630.050912973,5257609.08233316
258,1021,1,217949.054796098,5247207.02330438
259,910,1,211622.268902375,5247515.34145293
260,1017,1,213124.941055829,5247390.25940034
261,1499,1,213124.941055829,5247390.25940034
262,1020,1,217949.054796098,5247207.02330438
263,421,1,234645.803798574,5228725.14127866
264,2114,1,239576.786065553,5229292.22510437
265,1862,1,231465.487096823,5229679.74877445
266,1056,1,218840.491016444,5232098.2306737
267,1749,1,218960.034481181,5231870.85170562
268,784,1,218960.014484687,5231870.8525688
269,1297,1,220218.084265573,5230204.61787212
270,1060,1,220337.209307324,5230076.21541009
271,1302,1,238316.957333749,5227737.30493274
272,202,1,226318.155878606,5221868.5673459
273,1895,1,226470.092534589,5225106.46415181
274,78,1,231228.916785418,5224861.3821384
275,80,1,240704.091136502,5222785.83296987
276,431,1,218514.305109,5225433.69801672
277,310,1,223262.032033482,5225203.29988393
278,670,1,231948.594365599,5265156.06171113
279,1408,1,222244.146557943,5267158.48329751
280,1003,1,220566.547662548,5267252.30585275
281,1932,1,235067.138073603,5263402.5471675
282,421,1,233456.887988855,5263450.13233057
283,313,1,255028.878003409,5215735.41960586
284,1192,1,241402.575137198,5259914.02188363
285,932,1,251865.151620064,5264371.5895606
286,1225,1,252917.346354562,5265780.18988391
287,670,1,251865.151620064,5264371.5895606
288,1509,1,240130.710107441,5230887.01434262
289,421,1,234868.534329614,5232746.10112565
290,1863,1,231646.413170883,5232884.24667539
291,421,1,234912.479700787,5233556.9080442
292,910,1,221768.641537851,5244599.99193592
293,421,1,234690.393255935,5229519.06192038
294,352,1,221747.857430843,5227812.21477406
295,368,1,221766.757130342,5226894.59668263
296,1636,1,227152.905780948,5266965.63589711
297,1227,1,222244.146557943,5267158.48329751
298,369,1,237800.434059446,5226155.87722543
299,1194,1,317582.763081936,5255417.52608456
300,1464,1,317253.423176104,5257227.61998861
301,1895,1,226318.007012451,5221868.70878484
302,1596,1,226318.007012451,5221868.70878484
303,2243,1,226318.155878606,5221868.5673459
304,256,1,226318.155878606,5221868.5673459
305,65,1,227921.740396423,5221766.08419738
306,2484,1,231093.270622961,5221613.53429911
307,293,1,229525.41246363,5221703.75278035
308,195,1,235976.680346824,5221348.70262099
309,2336,1,223349.367210835,5226826.31362713
310,2235,1,232843.684011575,5218286.54993714
311,65,1,227834.961242449,5220208.05190127
312,149,1,227846.95736988,5220194.9114098
313,1682,1,227846.95736988,5220194.9114098
314,1200,1,225145.906937088,5231597.75630779
315,1080,1,225037.220241712,5233216.41006482
316,264,1,225182.417494386,5232744.48625596
317,560,1,225092.666894036,5232940.51750999
318,1749,1,225145.926909869,5231597.75525913
319,587,1,219024.163549021,5265715.41451269
320,1104,1,215574.945746294,5261036.00015811
321,1405,1,228342.496012272,5258854.0835718
322,425,1,229001.30927726,5255579.18346475
323,1176,1,223374.038757286,5255839.65185313
324,1883,1,223231.519987111,5252605.42324425
325,547,1,236081.083724118,5250557.38440576
326,1688,1,237555.240185059,5252000.53869903
327,1313,1,234500.428436675,5251261.73026186
328,827,1,232914.305202936,5251977.86863954
329,429,1,222470.341476969,5251838.91547237
330,1549,1,238280.350109444,5236617.75467657
331,1743,1,239898.6355526,5236558.89480424
332,87,1,215143.722654718,5222341.56339987
333,1960,1,211922.860920973,5222467.81183206
334,1441,1,210928.14458929,5222527.00355667
335,1964,1,210928.14458929,5222527.00355667
336,1467,1,211922.860920973,5222467.81183206
337,1688,1,212057.32488261,5222462.85018615
338,293,1,229394.929056352,5218488.82274823
339,1949,1,217834.736444394,5257693.19969404
340,997,1,217834.736444394,5257693.19969404
341,976,1,241245.177107076,5255880.32653653
342,2484,1,230967.56657435,5218383.39599316
343,1906,1,234094.438167572,5214804.50718925
344,715,1,234983.638456687,5261789.02975163
345,264,1,225692.826823583,5243643.42612414
346,928,1,227305.527354457,5243586.39773381
347,1489,1,225692.826823583,5243643.42612414
348,1716,1,224131.84699821,5244391.2796372
349,1439,1,210527.77036766,5225722.11460907
350,1688,1,212028.37601858,5225701.72566261
351,1268,1,219507.677910083,5246585.62521451
352,923,1,219813.382628613,5246313.37770388
353,2053,1,241769.930999889,5229194.69582387
354,14,1,234620.354201014,5227911.77756353
355,300,1,238318.274789882,5227737.21623239
356,2762,1,238316.957333749,5227737.30493274
357,1683,1,238318.274789882,5227737.21623239
358,2486,1,238318.274789882,5227737.21623239
359,1167,1,238318.274789882,5227737.21623239
360,1333,1,238318.274789882,5227737.21623239
361,2763,1,238318.274789882,5227737.21623239
362,353,1,229673.797892214,5224927.19444805
363,14,1,234470.416336915,5224672.50131966
364,314,1,239954.864268528,5224422.68574052
365,2493,1,223262.032033482,5225203.29988393
366,2242,1,223262.032033482,5225203.29988393
367,352,1,221670.576740141,5225284.75097666
368,218,1,223283.495134321,5225214.7919521
369,1238,1,212625.277440365,5267649.41370804
370,995,1,214234.625119731,5267571.03010694
371,1712,1,220566.547662548,5267252.30585275
372,1578,1,220566.547662548,5267252.30585275
373,854,1,219073.602475818,5267337.2376696
374,1928,1,252917.346354562,5265780.18988391
375,1875,1,233259.884742383,5232831.62128611
376,1862,1,231684.042465572,5233697.21599994
377,2110,1,233300.548796673,5233633.40441815
378,1549,1,238141.690223877,5233401.15584557
379,1863,1,231465.487096823,5229679.74877445
380,654,1,233076.016418282,5229602.81976079
381,2107,1,237951.891997058,5229363.63889228
382,1460,1,230368.184177478,5266810.76408868
383,716,1,228768.460288359,5266887.7713256
384,264,1,240020.557721585,5226026.83246993
385,194,1,232744.724832123,5221528.99688899
386,14,1,234530.136010477,5226284.036428
387,848,1,219699.895822047,5265685.76889778
388,849,1,217184.817336076,5260955.08371752
389,1311,1,232468.988121539,5260271.9018557
